og_index,tconst
67690,0069049
67836,0069204
109009,0111414
114407,0116991
164986,0170651
185535,0192528
264791,0276132
265190,0276568
267991,0279481
292637,0305295
315343,0328810
324295,0337981
346025,0360556
350845,0365545
359636,0374682
370235,0385887
410821,0427543
415179,0432010
420119,0437086
424805,0441881
429563,0446792
430854,0448115
455123,0473032
759892,0783640
776069,0800325
786330,0810836
800395,0825334
812144,0837563
821039,0846775
823634,0849437
824425,0850247
832368,0858419
833568,0859635
836703,0862930
864462,0891581
942687,0972544
969461,10001116
969905,10001870
970367,10002654
970770,10003350
971026,10003792
971034,10003806
971131,10003978
971138,10003990
971187,10004074
971359,10004372
971372,10004396
971475,10004574
971684,10004944
971802,10005184
971909,10005378
972180,10005864
972257,10006006
972323,10006122
972342,10006156
972400,10006270
972402,10006274
972403,10006276
972751,10006874
972987,10007268
973037,10007352
973305,10007820
973398,10007978
973588,10008304
973741,10008602
973846,10008784
973967,10008996
973987,10009030
974026,10009098
974168,10009342
974220,10009434
974317,10009602
974478,10009878
974527,10009960
974537,10009978
974749,10010368
974959,10010748
974994,10010814
975065,10010950
975149,10011102
975219,10011226
975223,10011232
975229,10011244
975234,10011252
975240,10011264
975243,10011270
975251,10011284
975258,10011296
975262,10011302
975267,10011312
975272,10011320
975274,10011324
975281,10011336
975285,10011342
975297,10011362
975321,10011402
975327,10011412
975348,10011448
975368,10011480
975380,10011500
975384,10011508
975398,10011534
975483,10011682
975537,10011772
976108,10012786
976213,10012964
976276,10013072
976605,10013634
976837,10014042
976870,10014100
976889,10014132
977045,10014396
977170,10014616
977208,10014682
977229,10014718
977296,10014838
977513,10015222
977520,10015234
977526,10015248
977548,10015286
977623,10015418
977626,10015426
977630,10015432
977839,10015812
978028,10016152
978087,10016254
978159,10016388
978180,10016428
978185,10016436
978190,10016444
978223,10016502
978239,10016532
978272,10016590
978300,10016638
978779,10017454
978808,10017502
978813,10017510
978845,10017566
978914,10017680
978930,10017708
978939,10017722
979079,10017956
979175,10018116
979291,10018324
979325,10018386
979923,10019402
980187,10019866
980659,10020682
981123,10021464
981130,10021478
981215,10021622
981251,10021688
981290,10021754
981320,10021804
981528,10022158
981661,10022384
981835,10022684
981902,10022800
981916,10022824
981936,10022858
981940,10022864
981992,10022952
982005,10022974
982068,10023080
982229,10023364
982309,10023506
982389,10023640
982457,10023754
982492,10023812
982626,10024036
982631,10024044
983022,10024716
983227,10025064
983301,10025196
983817,10026108
983854,10026172
983862,10026190
983931,10026308
984152,10026686
984173,10026722
984178,10026730
984434,10027174
984608,10027474
984735,10027696
984742,10027708
984822,10027848
985302,10028708
